,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
473,Yeah,No,No,In particular article,Sometimes,Slow,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
474,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
475,Yeah,No,No,In all materials,Rarely / never,Slow,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
476,No,Yeah,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
477,No,No,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dyslexie
478,No,No,Yeah,In particular article,Rarely / never,Slow,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
479,Yeah,Yeah,No,In all materials,Sometimes,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
480,No,Yeah,No,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
481,Yeah,Yeah,No,In particular article,Rarely / never,Average,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Type_dyscalculie
482,No,Yeah,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Type_dysgraphie
483,Yeah,No,Yeah,In all materials,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Type_dyscalculie
484,No,No,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
485,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Type_dyslexie
486,No,Yeah,Yeah,In particular article,Sometimes,Fast,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dyslexie
487,Yeah,No,No,In particular article,Sometimes,Slow,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
488,Yeah,Yeah,Yeah,In particular article,Rarely / never,Slow,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dyslexie
489,Yeah,No,No,In all materials,Rarely / never,Fast,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dysgraphie
490,No,No,No,In all materials,Sometimes,Slow,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dysgraphie
491,Yeah,No,Yeah,In particular article,Rarely / never,Slow,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dysgraphie
492,No,No,No,In all materials,Rarely / never,Slow,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
493,No,Yeah,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dyslexie
494,Yeah,No,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
495,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
496,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Type_dysgraphie
497,Yeah,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyscalculie
498,No,Yeah,Yeah,In all materials,Sometimes,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Type_dyslexie
499,No,No,No,In all materials,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
500,No,Yeah,No,In all materials,Repeatedly / always,Average,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
501,Yeah,No,No,In all materials,Sometimes,Slow,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
502,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
503,No,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Concentration
504,No,Yeah,No,In all materials,Rarely / never,Average,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
505,No,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
506,No,No,Yeah,In particular article,Repeatedly / always,Fast,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
507,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Type_dysgraphie
508,Yeah,No,No,In all materials,Rarely / never,Fast,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Concentration
509,Yeah,Yeah,No,In particular article,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
510,No,No,Yeah,In all materials,Sometimes,Average,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
511,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dysgraphie
512,No,No,No,In particular article,Repeatedly / always,Average,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
513,Yeah,Yeah,Yeah,In particular article,Rarely / never,Fast,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Concentration
514,No,Yeah,Yeah,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
515,Yeah,Yeah,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Type_dysgraphie
516,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
517,No,Yeah,No,In particular article,Repeatedly / always,Average,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dysgraphie
518,Yeah,No,No,In particular article,Sometimes,Fast,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dysgraphie
519,No,Yeah,No,In particular article,Repeatedly / always,Fast,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
520,No,Yeah,No,In all materials,Repeatedly / always,Average,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
521,No,Yeah,Yeah,In particular article,Sometimes,Average,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Type_dysgraphie
522,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
523,Yeah,Yeah,No,In all materials,Rarely / never,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
524,Yeah,Yeah,No,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
525,Yeah,Yeah,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dyscalculie
526,No,No,No,In all materials,Sometimes,Average,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
527,Yeah,Yeah,Yeah,In particular article,Rarely / never,Fast,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
528,No,Yeah,No,In all materials,Sometimes,Average,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
529,Yeah,Yeah,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
530,Yeah,No,No,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
531,No,Yeah,No,In particular article,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
532,No,Yeah,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
533,Yeah,No,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
534,Yeah,No,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
535,No,Yeah,Yeah,In all materials,Sometimes,Fast,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
536,Yeah,No,Yeah,In particular article,Sometimes,Average,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
537,No,Yeah,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
538,No,No,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
539,Yeah,No,No,In particular article,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dyslexie
540,No,Yeah,No,In all materials,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Type_dyslexie
541,No,No,Yeah,In all materials,Repeatedly / always,Slow,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
542,Yeah,No,Yeah,In all materials,Sometimes,Fast,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
543,Yeah,No,Yeah,In all materials,Rarely / never,Average,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
544,No,No,No,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyscalculie
545,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Type_dysgraphie
546,No,No,No,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dysgraphie
547,No,No,No,In particular article,Sometimes,Average,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
548,No,Yeah,Yeah,In particular article,Sometimes,Slow,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dysgraphie
549,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
550,No,Yeah,Yeah,In particular article,Rarely / never,Average,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
551,No,No,Yeah,In particular article,Rarely / never,Fast,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
552,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
553,Yeah,No,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
554,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
555,Yeah,Yeah,Yeah,In all materials,Rarely / never,Slow,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
556,No,No,No,In all materials,Sometimes,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
557,No,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
558,Yeah,Yeah,Yeah,In particular article,Rarely / never,Average,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
559,No,Yeah,Yeah,In all materials,Rarely / never,Slow,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
